,Unnamed: 0,Unnamed: 0.1,review,label,TOKENIZATION,TF,STOPWORD,REVIEW,BERSIH,polarity
0,0,0,kawasan pejalan kaki yang bagus untuk berjalanjalan pagi atau sore hari dikunjungi pada malam akhir pekan dan cukup ramai banyak kafe di seberang jalan dan mereka buka sampai larut malam,positif,"['kawasan', 'pejalan', 'kaki', 'yang', 'bagus', 'untuk', 'berjalanjalan', 'pagi', 'atau', 'sore', 'hari', 'dikunjungi', 'pada', 'malam', 'akhir', 'pekan', 'dan', 'cukup', 'ramai', 'banyak', 'kafe', 'di', 'seberang', 'jalan', 'dan', 'mereka', 'buka', 'sampai', 'larut', 'malam']",<FreqDist with 28 samples and 30 outcomes>,"['kawasan', 'pejalan', 'kaki', 'bagus', 'berjalanjalan', 'pagi', 'sore', 'dikunjungi', 'malam', 'pekan', 'ramai', 'kafe', 'seberang', 'jalan', 'buka', 'larut', 'malam']","['kawasan', 'pejal', 'kaki', 'bagus', 'berjalanjalan', 'pagi', 'sore', 'kunjung', 'malam', 'pekan', 'ramai', 'kafe', 'seberang', 'jalan', 'buka', 'larut', 'malam']",kawasan pejal kaki bagus berjalanjalan pagi sore kunjung malam pekan ramai kafe seberang jalan buka larut malam,1
1,1,1,tempat yang bagus untuk melihat matahari terbenam atau jalanjalan sore dan anda dapat melihat beberapa kepiting kecil di pantai ada banyak stand makanan di dekat pantai minusnya adalah pantai masih memiliki beberapa sampah plastik di pantai,positif,"['tempat', 'yang', 'bagus', 'untuk', 'melihat', 'matahari', 'terbenam', 'atau', 'jalanjalan', 'sore', 'dan', 'anda', 'dapat', 'melihat', 'beberapa', 'kepiting', 'kecil', 'di', 'pantai', 'ada', 'banyak', 'stand', 'makanan', 'di', 'dekat', 'pantai', 'minusnya', 'adalah', 'pantai', 'masih', 'memiliki', 'beberapa', 'sampah', 'plastik', 'di', 'pantai']",<FreqDist with 29 samples and 36 outcomes>,"['bagus', 'matahari', 'terbenam', 'jalanjalan', 'sore', 'kepiting', 'pantai', 'stand', 'makanan', 'pantai', 'minusnya', 'pantai', 'memiliki', 'sampah', 'plastik', 'pantai']","['bagus', 'matahari', 'benam', 'jalanjalan', 'sore', 'kepiting', 'pantai', 'stand', 'makan', 'pantai', 'minus', 'pantai', 'milik', 'sampah', 'plastik', 'pantai']",bagus matahari benam jalanjalan sore kepiting pantai stand makan pantai minus pantai milik sampah plastik pantai,1
2,2,2,pasti tempat yang harus dikunjungi jika anda datang ke padang tempat yang bagus bahkan hanya untuk pergi keluar dan berjalanjalan,positif,"['pasti', 'tempat', 'yang', 'harus', 'dikunjungi', 'jika', 'anda', 'datang', 'ke', 'padang', 'tempat', 'yang', 'bagus', 'bahkan', 'hanya', 'untuk', 'pergi', 'keluar', 'dan', 'berjalanjalan']",<FreqDist with 18 samples and 20 outcomes>,"['dikunjungi', 'padang', 'bagus', 'pergi', 'berjalanjalan']","['kunjung', 'padang', 'bagus', 'pergi', 'berjalanjalan']",kunjung padang bagus pergi berjalanjalan,1
3,3,3,pantai yang bersih dan tenang tidak matahari terbenam yang spektakuler ya,positif,"['pantai', 'yang', 'bersih', 'dan', 'tenang', 'tidak', 'matahari', 'terbenam', 'yang', 'spektakuler', 'ya']",<FreqDist with 10 samples and 11 outcomes>,"['pantai', 'bersih', 'tenang', 'matahari', 'terbenam', 'spektakuler', 'ya']","['pantai', 'bersih', 'tenang', 'matahari', 'benam', 'spektakuler', 'ya']",pantai bersih tenang matahari benam spektakuler ya,1
4,4,4,tidak ada yang istimewa dari pantai itu sendiri meskipun itu adalah tempat yang bagus untuk menyaksikan matahari terbenam itu kotor di mana saya nongkrong jika anda mengemudi dan parkir di sana anda hanya dapat memesan minuman dari toko yang ada di depan mobil anda yang menurut saya sangat konyol banyak orang nongkrong di bawah payung yang bagus,positif,"['tidak', 'ada', 'yang', 'istimewa', 'dari', 'pantai', 'itu', 'sendiri', 'meskipun', 'itu', 'adalah', 'tempat', 'yang', 'bagus', 'untuk', 'menyaksikan', 'matahari', 'terbenam', 'itu', 'kotor', 'di', 'mana', 'saya', 'nongkrong', 'jika', 'anda', 'mengemudi', 'dan', 'parkir', 'di', 'sana', 'anda', 'hanya', 'dapat', 'memesan', 'minuman', 'dari', 'toko', 'yang', 'ada', 'di', 'depan', 'mobil', 'anda', 'yang', 'menurut', 'saya', 'sangat', 'konyol', 'banyak', 'orang', 'nongkrong', 'di', 'bawah', 'payung', 'yang', 'bagus']",<FreqDist with 41 samples and 57 outcomes>,"['istimewa', 'pantai', 'bagus', 'menyaksikan', 'matahari', 'terbenam', 'kotor', 'nongkrong', 'mengemudi', 'parkir', 'memesan', 'minuman', 'toko', 'mobil', 'konyol', 'orang', 'nongkrong', 'payung', 'bagus']","['istimewa', 'pantai', 'bagus', 'saksi', 'matahari', 'benam', 'kotor', 'nongkrong', 'kemudi', 'parkir', 'mes', 'minum', 'toko', 'mobil', 'konyol', 'orang', 'nongkrong', 'payung', 'bagus']",istimewa pantai bagus saksi matahari benam kotor nongkrong kemudi parkir mes minum toko mobil konyol orang nongkrong payung bagus,1
5,5,5,makanannya enak dan mudah didapat pilihan kuliner lokal minang yang luar biasa surga makanan bagi para pemburu makanan sangat pasti untuk menginap satu atau dua malam,positif,"['makanannya', 'enak', 'dan', 'mudah', 'didapat', 'pilihan', 'kuliner', 'lokal', 'minang', 'yang', 'luar', 'biasa', 'surga', 'makanan', 'bagi', 'para', 'pemburu', 'makanan', 'sangat', 'pasti', 'untuk', 'menginap', 'satu', 'atau', 'dua', 'malam']",<FreqDist with 25 samples and 26 outcomes>,"['makanannya', 'enak', 'mudah', 'pilihan', 'kuliner', 'lokal', 'minang', 'surga', 'makanan', 'pemburu', 'makanan', 'menginap', 'malam']","['makan', 'enak', 'mudah', 'pilih', 'kuliner', 'lokal', 'mang', 'surga', 'makan', 'buru', 'makan', 'inap', 'malam']",makan enak mudah pilih kuliner lokal mang surga makan buru makan inap malam,1
6,6,6,saya biasanya pergi ke pantai padang untuk menikmati makanan jalanan yang mereka jual di tepi pantai saya tidak berpikir itu adalah tempat terbaik untuk melihat matahari terbenam selain itu pantai menjadi sangat ramai saat akhir pekan dengan orangorang dari luar kota namun jika anda ingin,positif,"['saya', 'biasanya', 'pergi', 'ke', 'pantai', 'padang', 'untuk', 'menikmati', 'makanan', 'jalanan', 'yang', 'mereka', 'jual', 'di', 'tepi', 'pantai', 'saya', 'tidak', 'berpikir', 'itu', 'adalah', 'tempat', 'terbaik', 'untuk', 'melihat', 'matahari', 'terbenam', 'selain', 'itu', 'pantai', 'menjadi', 'sangat', 'ramai', 'saat', 'akhir', 'pekan', 'dengan', 'orangorang', 'dari', 'luar', 'kota', 'namun', 'jika', 'anda', 'ingin']",<FreqDist with 40 samples and 45 outcomes>,"['pergi', 'pantai', 'padang', 'menikmati', 'makanan', 'jalanan', 'jual', 'tepi', 'pantai', 'berpikir', 'terbaik', 'matahari', 'terbenam', 'pantai', 'ramai', 'pekan', 'orangorang', 'kota']","['pergi', 'pantai', 'padang', 'nikmat', 'makan', 'jalan', 'jual', 'tepi', 'pantai', 'pikir', 'baik', 'matahari', 'benam', 'pantai', 'ramai', 'pekan', 'orangorang', 'kota']",pergi pantai padang nikmat makan jalan jual tepi pantai pikir baik matahari benam pantai ramai pekan orangorang kota,1
7,7,7,pantai ini terletak di pinggir jalan sehingga orang dapat dengan mudah datang dan mengunjungi pantai pantai ini adalah jenis pantai biasa jika anda melihat laut anda bisa datang dan nongkrong di sini ada sekelompok huruf padang pengunjung bisa berfoto disini taman ini juga ramai oleh orangorang di malam hari buka jam sehari dan gratis,positif,"['pantai', 'ini', 'terletak', 'di', 'pinggir', 'jalan', 'sehingga', 'orang', 'dapat', 'dengan', 'mudah', 'datang', 'dan', 'mengunjungi', 'pantai', 'pantai', 'ini', 'adalah', 'jenis', 'pantai', 'biasa', 'jika', 'anda', 'melihat', 'laut', 'anda', 'bisa', 'datang', 'dan', 'nongkrong', 'di', 'sini', 'ada', 'sekelompok', 'huruf', 'padang', 'pengunjung', 'bisa', 'berfoto', 'disini', 'taman', 'ini', 'juga', 'ramai', 'oleh', 'orangorang', 'di', 'malam', 'hari', 'buka', 'jam', 'sehari', 'dan', 'gratis']",<FreqDist with 42 samples and 54 outcomes>,"['pantai', 'terletak', 'pinggir', 'jalan', 'orang', 'mudah', 'mengunjungi', 'pantai', 'pantai', 'jenis', 'pantai', 'laut', 'nongkrong', 'sekelompok', 'huruf', 'padang', 'pengunjung', 'berfoto', 'taman', 'ramai', 'orangorang', 'malam', 'buka', 'jam', 'sehari', 'gratis']","['pantai', 'letak', 'pinggir', 'jalan', 'orang', 'mudah', 'unjung', 'pantai', 'pantai', 'jenis', 'pantai', 'laut', 'nongkrong', 'kelompok', 'huruf', 'padang', 'unjung', 'foto', 'taman', 'ramai', 'orangorang', 'malam', 'buka', 'jam', 'hari', 'gratis']",pantai letak pinggir jalan orang mudah unjung pantai pantai jenis pantai laut nongkrong kelompok huruf padang unjung foto taman ramai orangorang malam buka jam hari gratis,1
8,8,8,pantai yang indah dan anda bisa menyaksikan matahari terbenam yang indah hampir setiap hari tempat yang harus dikunjungi di padang,positif,"['pantai', 'yang', 'indah', 'dan', 'anda', 'bisa', 'menyaksikan', 'matahari', 'terbenam', 'yang', 'indah', 'hampir', 'setiap', 'hari', 'tempat', 'yang', 'harus', 'dikunjungi', 'di', 'padang']",<FreqDist with 17 samples and 20 outcomes>,"['pantai', 'indah', 'menyaksikan', 'matahari', 'terbenam', 'indah', 'dikunjungi', 'padang']","['pantai', 'indah', 'saksi', 'matahari', 'benam', 'indah', 'kunjung', 'padang']",pantai indah saksi matahari benam indah kunjung padang,1
9,9,9,pantai kota dengan banyak keramaian akhir pekan lokal dan banyak kedai makanan di sekitarnya pastikan anda mencoba kerucut manis panggang dan gurun pisang lezat,positif,"['pantai', 'kota', 'dengan', 'banyak', 'keramaian', 'akhir', 'pekan', 'lokal', 'dan', 'banyak', 'kedai', 'makanan', 'di', 'sekitarnya', 'pastikan', 'anda', 'mencoba', 'kerucut', 'manis', 'panggang', 'dan', 'gurun', 'pisang', 'lezat']",<FreqDist with 22 samples and 24 outcomes>,"['pantai', 'kota', 'keramaian', 'pekan', 'lokal', 'kedai', 'makanan', 'pastikan', 'mencoba', 'kerucut', 'manis', 'panggang', 'gurun', 'pisang', 'lezat']","['pantai', 'kota', 'ramai', 'pekan', 'lokal', 'kedai', 'makan', 'pasti', 'coba', 'kerucut', 'manis', 'panggang', 'gurun', 'pisang', 'lezat']",pantai kota ramai pekan lokal kedai makan pasti coba kerucut manis panggang gurun pisang lezat,1
