,Unnamed: 0,review,label
0,0,Kawasan pejalan kaki yang bagus untuk berjalan-jalan pagi atau sore hari. Dikunjungi pada malam akhir pekan dan cukup ramai. Banyak kafe di seberang jalan dan mereka buka sampai larut malam.,positif
1,1,tempat yang bagus untuk melihat matahari terbenam atau jalan-jalan sore dan Anda dapat melihat beberapa kepiting kecil di pantai. Ada banyak stand makanan di dekat pantai. Minusnya adalah pantai masih memiliki beberapa sampah plastik di pantai.,positif
2,2,Pasti tempat yang harus dikunjungi jika Anda datang ke Padang. Tempat yang bagus bahkan hanya untuk pergi keluar dan berjalan-jalan.,positif
3,3,"Pantai yang bersih dan tenang. tidak.
Matahari terbenam yang spektakuler, YA.",positif
4,4,"Tidak ada yang istimewa dari pantai itu sendiri meskipun itu adalah tempat yang bagus untuk menyaksikan matahari terbenam. Itu kotor di mana saya nongkrong. Jika Anda mengemudi dan parkir di sana, Anda hanya dapat memesan minuman dari toko yang ada di depan mobil Anda, yang menurut saya sangat konyol. Banyak orang nongkrong di bawah payung yang bagus.",positif
5,5,Makanannya enak dan mudah didapat. Pilihan kuliner lokal Minang@Padang yang luar biasa. Surga makanan bagi para pemburu makanan. Sangat pasti untuk menginap satu atau dua malam.,positif
6,6,"Saya biasanya pergi ke Pantai Padang untuk menikmati makanan jalanan yang mereka jual di tepi pantai. Saya tidak berpikir itu adalah tempat terbaik untuk melihat matahari terbenam. Selain itu, pantai menjadi sangat ramai saat akhir pekan dengan orang-orang dari luar kota. Namun, jika Anda ingin…",positif
7,7,"Pantai ini terletak di pinggir jalan, sehingga orang dapat dengan mudah datang dan mengunjungi pantai.
Pantai ini adalah jenis pantai biasa, jika Anda melihat laut, Anda bisa datang dan nongkrong di sini.
Ada sekelompok huruf PADANG. Pengunjung bisa berfoto disini.
Taman ini juga ramai oleh orang-orang di malam hari.
Buka 24 jam sehari dan gratis.",positif
8,8,"Pantai yang indah dan Anda bisa menyaksikan matahari terbenam yang indah hampir setiap hari..
tempat yang harus dikunjungi di padang.",positif
9,9,pantai kota dengan banyak keramaian akhir pekan lokal dan banyak kedai makanan di sekitarnya. Pastikan Anda mencoba kerucut manis panggang dan gurun pisang. Lezat,positif
10,10,Pantai bahkan Kota Padang sangat bersih dan sangat mengagumkan. Pemandangan matahari terbenam juga membuat Anda semakin ingin mengunjungi tempat-tempat ini,positif
11,11,pantai yang indah matahari terbenam,positif
